1,share,分け合う
2,matter,事柄
3,research,研究
4,mind,気にする
5,include,含む
6,hold,催す
7,train,列車
8,sense,感覚
9,provide,供給する
10,happen,起こる
11,reason,理由
12,university,(総合)大学
13,course,進路
14,seem,〜のように思える
15,order,順序
16,describe,述べる
17,several,いくつかの
18,follow,従う
19,travel,旅行する
20,sound,健全な
21,system,体制
22,instead,代わりに
23,century,世紀
24,own,所有する
25,lead,過ごす
26,different,違う
27,poplular,人気がある
28,while,間
29,might,力
30,case,場合
31,important,重要な
32,pay,払う
33,social,社会的な
34,job,仕事
35,past,過ぎ去った
36,difficult,難しい
37,space,空間
38,part,部分
39,rather,かなり
40,area,地域
41,age,年齢
42,create,創造する
43,whether,〜かどうか
44,present,現在
45,end,終わり
46,choose,選ぶ
47,although,〜だけれども
48,decide,決める
49,effect,効果
50,various,いろいろな
51,activity,活動
52,continue,続ける
53,example,例
54,common,共通
55,view,眺め
56,chance,偶然
57,develop,発達する
58,believe,信じる
59,report,報告
60,almost,ほとんど
61,consider,熟考する
62,suggest,提案する
63,require,〜を必要とする
64,problem,問題
65,form,形
66,least,一番少ない
67,remember,忘れないで〜する
68,improve,改善する
69,agree,同意する
70,quite,全く
71,point,要点
72,change,変える
73,level,水準
74,according,〜に従って
75,fact,事実
76,future,未来
77,similar,似ている
78,plan,計画する
79,cause,〜の原因となる
80,possible,可能な
81,increase,増える
82,result,結果
83,human,人間の
84,even,〜でさえ(も)
85,finally,ついに
86,parent,親
87,type,型
88,language,言語
89,likely,〜しそうな
90,however,どんなに〜でも
91,actually,実は
92,explain,説明する
93,less,より少ない
94,set,置く
95,else,その他に
96,produce,生産する
97,finish,終える
98,allow,許す
99,able,(〜することが)できる
100,experience,経験
101,minute,分
102,public,公共の
103,line,列
104,expect,期待する
105,material,材料
106,contain,含む
107,state,国家
108,whole,全体
109,rest,休む
110,tend,〜の傾向がある
111,local,地元の
112,side,側
113,pick,選ぶ
114,especially,特に
115,culture,文化
116,being,存在
117,history,歴史
118,support,支える
119,reach,(届く)範囲
120,offer,申し出
121,full,満ちた
122,encourage,励ます
123,amount,量
124,passage,文の一節
125,occur,起こる
126,available,利用できる
127,wear,身につけている
128,accept,受け入れる
129,value,価値
130,issue,問題
131,clear,きれいにする
132,power,力
133,business,商売
134,health,健康
135,enviroment,環境
136,moment,瞬間
137,depend,頼る
138,familiar,よく知られている
139,interest,興味
140,society,社会
141,risk,危険
142,knowledge,知識
143,cost,(費用が)かかる
144,main,主要な
145,behavior,ふるまい
146,recent,最近の
147,thus,このように
148,realize,理解する
149,certain,確かな
150,situation,状況
151,attention,注意
152,adult,大人
153,event,出来事
154,simple,簡単な
155,gain,得る
156,oppotunity,好機
157,major,主な
158,join,参加する
159,front,前部
160,benefit,利益
161,serious,重大な
162,opinion,意見
163,ability,能力
164,probably,たぶん
165,surprise,驚かす
166,reduce,減らす
167,worry,心配する
168,piece,一部分
169,bit,小片
170,science,科学
171,skill,技
172,practice,実行
173,average,平均
174,receive,受け取る
175,easily,容易に
176,further,さらに進んだ
177,particular,特定の
178,guess,推測する
179,real,本当の
180,technology,科学技術
181,term,専門用語
182,involve,巻き込む
183,design,設計する
184,process,過程
185,avoid,避ける
186,party,パーティー
187,wonder,〜かしらと思う
188,nature,本性
189,appear,見たところ〜らしい
190,forget,忘れる
191,maybe,たぶん
192,influence,影響
193,argue,論争する
194,discover,発見する
195,period,期間
196,step,歩み
197,remain,残る
198,phone,電話
199,concern,関係する
200,perhaps,ことによると
201,limit,制限
202,per,〜につき
203,affect,影響を及ぼす
204,connect,つなぐ
205,appropriate,適切な
206,represent,代表する
207,conversation,会話
208,attempt,試みる
209,lack,欠乏
210,separate,別々の
211,free,自由な
212,mistake,誤り
213,total,全くの
214,therefore,それ故に
215,quality,質
216,dangerous,危険な
217,government,政治
218,manage,どうにか成し遂げる
219,subject,〈⋯に〉なりやすい
220,necessary,必要な
221,purpose,目的
222,figure,姿
223,accident,事故
224,special,特別な
225,fun,おもしろみ
226,action,行動
227,office,仕事場
228,solve,解決する
229,product,製品
230,general,一般の
231,basic,基礎の
232,ready,準備[用意]のできた
